period_s,omega_rad_s,F_mag,phase_deg
10.0,0.6283185307179586,0.9598140899851596,156.93709136864268
15.0,0.41887902047863906,0.9817272163888825,164.5068295892974
25.0,0.25132741228718347,0.9933430733362852,170.66709887841975
40.0,0.15707963267948966,0.9973889251573577,174.15893212996713
50.0,0.12566370614359174,0.998327321773754,175.32566332102266
60.0,0.10471975511965977,0.9988378170895655,176.1040477918828
70.0,0.08975979010256552,0.9991458849512452,176.66026509148668
90.0,0.06981317007977318,0.9994831367085585,177.40213276637564
150.0,0.041887902047863905,0.9998138669350428,178.44110575250625
300.0,0.020943951023931952,0.9999534601620016,179.22051618196716
