t,H_m,gate_pu,Q_measured_m3s,Q_model_m3s,P_measured_MW,P_model_MW,rolling_RMSE_Q_m3s,rolling_RMSE_P_MW,rolling_REL_RMSE_Q_pct,rolling_REL_RMSE_P_pct,model_health,static_upward_headroom_MW,screening_fcr_MW,trusted_screening_fcr_MW
0.0,392.92518532015436,0.0,0.10087341041095266,NaN,-0.23157625648035576,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
1.0,392.9257565452689,0.0,0.10194373671961522,NaN,-0.23104075100945273,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
2.0,392.92857920184923,0.0,0.10170199898318802,NaN,-0.23090204631371053,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
3.0,392.92839822167116,0.0,0.10084021367143906,NaN,-0.2307914337082453,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
4.0,392.92565514723157,0.0,0.10184491376007705,NaN,-0.23076334161796838,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
5.0,392.9262814993479,0.0,0.1024092583318082,NaN,-0.23067730959149535,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
6.0,392.9251582630322,0.0,0.10301027788386483,NaN,-0.23068608836970686,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
7.0,392.9246186319357,0.0,0.10286894877558121,NaN,-0.23100388014096418,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
8.0,392.9230782988892,0.0,0.10262935936436136,NaN,-0.23119350175033307,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
9.0,392.9202856411406,0.0,0.10317119767201549,NaN,-0.23096876502811808,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
10.0,392.91678358626484,0.0,0.1029230661105664,NaN,-0.23059478907630707,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
11.0,392.9151736302857,0.0,0.10288541926883758,NaN,-0.2308844887572874,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
12.0,392.912503267787,0.0,0.10292137814076062,NaN,-0.23113556181413708,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
13.0,392.9103434972558,0.0,0.10366004395788828,NaN,-0.23077563190746458,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
14.0,392.90974179987853,0.0,0.1031285380714695,NaN,-0.23086341968957982,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
15.0,392.9045790792732,0.0,0.1029128359905314,NaN,-0.230996857118395,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
16.0,392.90074029293675,0.0,0.10330480303967267,NaN,-0.23077036464053766,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
17.0,392.89594161218037,0.0,0.10369794655261798,NaN,-0.23023134765834993,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
18.0,392.8947916869908,0.0,0.10331452165370593,NaN,-0.229581718070697,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
19.0,392.8909352450738,0.0,0.10279017685131167,NaN,-0.229932869199158,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
20.0,392.8907354822939,0.0,0.1029707896205297,NaN,-0.22972393427772372,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
21.0,392.8897616892994,0.0,0.1030265437747205,NaN,-0.2298924868193851,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
22.0,392.8884330971602,0.0,0.1028394860298804,NaN,-0.22959400836019322,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
23.0,392.88379609062207,0.0,0.10309656894636011,NaN,-0.22991004437580806,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
24.0,392.8811934993405,0.0,0.10324490568686771,NaN,-0.23026295125991145,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
25.0,392.88003893618264,0.0,0.1021435309638989,NaN,-0.2304947110046957,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
26.0,392.8775001894786,0.0,0.1016997483567803,NaN,-0.23075983010668372,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
