t,p_in,p_out,h_tailwater_m,H,Q,dm,omega,omega_pu,tau_o,P_elec,P_mech,eta,n_rpm,P_elec_MW
0,4.0192618127268297e6,164665.74473611545,24.88679580986634,392.92518532015436,0.10087341041095266,100.87341041095266,38.74649089386022,0.9866712885156742,0.0,-231576.25648035578,-235102.798457214,NaN,370.00173319337785,-0.23157625648035576
1,4.01926735733947e6,164665.6856303826,24.886593338510416,392.9257565452689,0.10194373671961522,101.94373671961522,38.746488963773395,0.986671239366417,0.0,-231040.75100945274,-234559.13808066267,NaN,370.0017147624064,-0.23104075100945273
2,4.019294779065029e6,164665.41709488805,24.886515299474905,392.92857920184923,0.10170199898318802,101.70199898318802,38.746487687771555,0.9866712068732969,0.0,-230902.04631371054,-234418.3211306706,NaN,370.00170257748636,-0.23090204631371053
3,4.0192918259561216e6,164664.23940152753,24.886697339351052,392.92839822167116,0.10084021367143906,100.84021367143906,38.746487269586076,0.9866711962242912,0.0,-230791.4337082453,-234306.02406928458,NaN,370.0016985841092,-0.2307914337082453
4,4.0192646453006775e6,164663.96830633585,24.887142376921684,392.92565514723157,0.10184491376007705,101.84491376007705,38.74648599358423,0.9866711637311709,0.0,-230763.34161796837,-234277.50418067854,NaN,370.0016863991891,-0.23076334161796838
5,4.01927012964579e6,164663.30813718663,24.88778988584823,392.9262814993479,0.1024092583318082,102.40925833180819,38.746484578187236,0.9866711276883824,0.0,-230677.30959149534,-234190.16202182267,NaN,370.0016728831434,-0.23067730959149535
6,4.019258980152981e6,164663.17759263507,24.888592704745054,392.9251582630322,0.10301027788386483,103.01027788386483,38.74648510359975,0.9866711410679023,0.0,-230686.08836970685,-234199.07448701203,NaN,370.0016779004634,-0.23068608836970686
7,4.0192540984831555e6,164663.58970386637,24.889279540429648,392.9246186319357,0.10286894877558121,102.86894877558122,38.74648469613698,0.986671130691948,0.0,-231003.88014096417,-234521.7057268672,NaN,370.0016740094805,-0.23100388014096418
8,4.0192403574866117e6,164664.9593745086,24.889867598358663,392.9230782988892,0.10262935936436136,102.62935936436136,38.746483366521616,0.9866710968335707,0.0,-231193.50175033306,-234714.21497495743,NaN,370.001661312589,-0.23119350175033307
9,4.019215647799843e6,164667.6456602535,24.890107706651,392.9202856411406,0.10317119767201549,103.1711976720155,38.7464826373777,0.9866710782660736,0.0,-230968.7650281181,-234486.05586610976,NaN,370.0016543497776,-0.23096876502811808
10,4.0191850921627902e6,164671.4451815322,24.88996253561053,392.91678358626484,0.1029230661105664,102.9230661105664,38.7464809860812,0.9866710362161534,0.0,-230594.78907630706,-234106.38484904272,NaN,370.00163858105753,-0.23059478907630707
11,4.019172315446704e6,164674.4621336011,24.8895348571167,392.9151736302857,0.10288541926883758,102.88541926883758,38.746480117542134,0.9866710140989876,0.0,-230884.48875728738,-234400.49620029176,NaN,370.00163028712035,-0.2308844887572874
12,4.019150558868842e6,164678.90181185192,24.889121004436255,392.912503267787,0.10292137814076062,102.92137814076062,38.746480310550815,0.9866710190139133,0.0,-231135.5618141371,-234655.39270470772,NaN,370.0016321302175,-0.23113556181413708
13,4.0191354317191388e6,164684.96201105972,24.888533407367692,392.9103434972558,0.10366004395788828,103.66004395788828,38.746480492836795,0.9866710236557877,0.0,-230775.6319074646,-234289.98163194375,NaN,370.0016338709204,-0.23077563190746458
14,4.0191350701139667e6,164690.5030571579,24.887855942512154,392.90974179987853,0.1031285380714695,103.1285380714695,38.74648116836718,0.9866710408580278,0.0,-230863.41968957984,-234379.1062838374,NaN,370.0016403217604,-0.23086341968957982
15,4.0190899900024976e6,164696.06923482756,24.887300144814354,392.9045790792732,0.1029128359905314,102.9128359905314,38.74648078234982,0.9866710310281763,0.0,-230996.85711839498,-234514.5757547157,NaN,370.0016366355661,-0.230996857118395
16,4.0190569633967695e6,164700.7011230598,24.886879532847367,392.90074029293675,0.10330480303967267,103.30480303967266,38.74647963502043,0.9866710018116732,0.0,-230770.36464053765,-234284.6341528301,NaN,370.00162567937747,-0.23077036464053766
17,4.0190123051580004e6,164703.11794251113,24.886533580272605,392.89594161218037,0.10369794655261798,103.69794655261798,38.746479570684194,0.9866710001733646,0.0,-230231.34765834993,-233737.408790203,NaN,370.00162506501175,-0.23023134765834993
18,4.019002240480708e6,164704.33403132806,24.886262901570696,392.8947916869908,0.10331452165370593,103.31452165370592,38.746481146921774,0.9866710403119249,0.0,-229581.71807069698,-233077.88636618984,NaN,370.0016401169718,-0.229581718070697
19,4.0189635487272805e6,164703.4739731062,24.88613800838983,392.8909352450738,0.10279017685131167,102.79017685131167,38.74648019260107,0.9866710160103477,0.0,-229932.869199158,-233434.38497376448,NaN,370.0016310038804,-0.229932869199158
20,4.018959149197684e6,164701.03411638094,24.88641698257977,392.8907354822939,0.1029707896205297,102.9707896205297,38.74648105041743,0.986671037854462,0.0,-229723.93427772372,-233222.26830225758,NaN,370.00163919542325,-0.22972393427772372
21,4.018946914889358e6,164698.35271733048,24.886834983004253,392.8897616892994,0.1030265437747205,103.0265437747205,38.746482369310094,0.9866710714397879,0.0,-229892.48681938509,-233393.3876338935,NaN,370.00165178992046,-0.2298924868193851
22,4.0189296181086204e6,164694.08942547918,24.887136385735893,392.8884330971602,0.1028394860298804,102.83948602988039,38.74648212268789,0.9866710651596049,0.0,-229594.00836019323,-233090.36381745504,NaN,370.00164943485186,-0.22959400836019322
23,4.018878752314396e6,164688.71266539412,24.88743486968471,392.88379609062207,0.10309656894636011,103.09656894636011,38.74648209051977,0.9866710643404507,0.0,-229910.04437580807,-233411.21256427214,NaN,370.001649127669,-0.22991004437580806
24,4.0188483172124014e6,164683.80898387104,24.887795723413873,392.8811934993405,0.10324490568686771,103.24490568686771,38.746481522216435,0.986671049868725,0.0,-230262.95125991144,-233769.4936648847,NaN,370.00164370077187,-0.23026295125991145
25,4.018834335145743e6,164681.15318179145,24.88806578763521,392.88003893618264,0.1021435309638989,102.1435309638989,38.746483205681045,0.9866710927377993,0.0,-230494.7110046957,-234004.78274588397,NaN,370.0016597766747,-0.2304947110046957
26,4.018807877700642e6,164679.6008418569,24.888402062140592,392.8775001894786,0.1016997483567803,101.6997483567803,38.74648407422011,0.9866711148549651,0.0,-230759.83010668372,-234273.93919460275,NaN,370.0016680706119,-0.23075983010668372
27,4.018784313096919e6,164680.24169692813,24.88869839540734,392.87503276248634,0.10136747405804329,101.36747405804329,38.74648417072446,0.986671117312428,0.0,-231009.14740789108,-234527.0532059808,NaN,370.0016689921605,-0.23100914740789108
28,4.0187527329118783e6,164681.75238361012,24.888820677045658,392.8716595849407,0.1018005661897253,101.8005661897253,38.746483377244324,0.9866710971066223,0.0,-231446.330562825,-234970.89397241117,NaN,370.00166141498335,-0.231446330562825
29,4.0187048804940893e6,164684.78492656117,24.888819908944907,392.8664725349162,0.10178138471465967,101.78138471465967,38.746483988438484,0.9866711126705537,0.0,-231419.9942281905,-234944.15657684315,NaN,370.00166725145766,-0.2314199942281905
30,4.0186568472737134e6,164688.03411296592,24.88879748040319,392.8612449705145,0.1018386733868557,101.8386733868557,38.74648293761343,0.9866710859115135,0.0,-231339.2294686446,-234862.16189710112,NaN,370.0016572168176,-0.2313392294686446
31,4.018601461414836e6,164692.89730473503,24.88870315763192,392.8551033751377,0.10198578251295909,101.98578251295909,38.746482959058845,0.9866710864576165,0.0,-231246.17441960232,-234767.68976609374,NaN,370.0016574216062,-0.23124617441960232
32,4.0185172676772387e6,164697.53407966156,24.888598235070393,392.8460482770211,0.10164522181699373,101.64522181699373,38.74648249798255,0.986671074716405,0.0,-231330.450690433,-234853.24943191168,NaN,370.0016530186519,-0.231330450690433
33,4.0184847834792687e6,164702.3484044863,24.88859869593085,392.84224618499314,0.10116982813896697,101.16982813896696,38.746482969781546,0.9866710867306678,0.0,-231502.51474337894,-235027.9337496233,NaN,370.00165752400045,-0.23150251474337893
34,4.018428433339931e6,164707.4298686072,24.888513129508055,392.83598404396776,0.10092128737271648,100.92128737271648,38.74648343085784,0.9866710984718793,0.0,-231225.10535189466,-234746.29984963924,NaN,370.00166192695474,-0.23122510535189467
35,4.0183712997227213e6,164709.56628487745,24.888332164972958,392.8299422464673,0.10202915822190753,102.02915822190752,38.746482197746815,0.9866710670709649,0.0,-231072.35461101407,-234591.22295534424,NaN,370.00165015161184,-0.23107235461101408
36,4.01832218168683e6,164711.50746606974,24.888089905998545,392.8247374333089,0.10239314589275306,102.39314589275305,38.74648039633245,0.9866710211983248,0.0,-230749.29557282993,-234263.24423637555,NaN,370.0016329493718,-0.23074929557282992
37,4.018269327064156e6,164713.15963419076,24.887853330969627,392.8191811855215,0.10287784898001168,102.87784898001168,38.74647963502043,0.9866710018116732,0.0,-230629.90418915314,-234142.03470980015,NaN,370.00162567937747,-0.23062990418915313
38,4.0182123139820043e6,164713.8135204471,24.887809549227256,392.81330279934326,0.10298373072237399,102.98373072237399,38.7464783911867,0.9866709701377074,0.0,-230094.3987182501,-233598.37433324882,NaN,370.0016138016403,-0.2300943987182501
39,4.0181964636219535e6,164714.36478612007,24.88790402561867,392.81163087011555,0.10234823566579938,102.34823566579938,38.74647562472892,0.9866708996904388,0.0,-229966.22855636186,-233468.25234148413,NaN,370.0015873839145,-0.22996622855636187
40,4.018148129063936e6,164713.85377750135,24.887704012185143,392.8067558905642,0.10174864833054764,101.74864833054764,38.74647655760422,0.9866709234459131,0.0,-229978.51884585802,-233480.72979274928,NaN,370.0015962922174,-0.22997851884585802
41,4.018094069090689e6,164711.59193607367,24.887586339151277,392.80147575480277,0.10154972364646694,101.54972364646694,38.7464760429144,0.9866709103394444,0.0,-230004.8551804926,-233507.46718831736,NaN,370.0015913772917,-0.2300048551804926
